epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,821.881,1.95061,2.59196,1.76754,0.58011,0.44657,0.47778,0.17377,2.25317,2.37631,2.01775,0.00055547,0.00055547,0.00055547
2,1534.49,1.88626,2.1468,1.74267,0.49706,0.56313,0.48943,0.20528,1.9821,2.89129,1.89666,0.00108914,0.00108914,0.00108914
3,2230.73,1.825,1.94415,1.73945,0.70436,0.58838,0.6372,0.26055,1.97914,2.23952,1.92013,0.0016008,0.0016008,0.0016008
4,2911.03,1.79038,1.80136,1.71113,0.62122,0.69949,0.66565,0.32139,1.77901,1.77588,1.7923,0.00156798,0.00156798,0.00156798
5,3605.93,1.73645,1.71378,1.67133,0.70244,0.66162,0.7167,0.35554,1.7252,1.68829,1.68493,0.00153497,0.00153497,0.00153497
6,4356.36,1.67414,1.62395,1.62201,0.53799,0.64141,0.61205,0.2969,1.72096,2.19581,1.6906,0.00150197,0.00150197,0.00150197
7,5052.47,1.65898,1.55753,1.61762,0.80148,0.76464,0.82092,0.38207,1.67977,1.57896,1.73608,0.00146896,0.00146896,0.00146896
8,5748.17,1.60637,1.46181,1.57578,0.69034,0.78252,0.73537,0.36532,1.63862,1.68612,1.63698,0.00143595,0.00143595,0.00143595
9,6445.09,1.59608,1.47754,1.56406,0.78218,0.77778,0.80843,0.37439,1.68933,1.6381,1.67885,0.00140295,0.00140295,0.00140295
10,7134.98,1.56303,1.41276,1.53259,0.73351,0.7298,0.76982,0.39538,1.65025,1.60212,1.65534,0.00136994,0.00136994,0.00136994
11,7821.03,1.54406,1.40286,1.54547,0.7562,0.76263,0.8009,0.41287,1.58457,1.6912,1.60608,0.00133693,0.00133693,0.00133693
12,8511.81,1.51293,1.34364,1.50097,0.89672,0.79293,0.86311,0.43737,1.64173,1.27542,1.65901,0.00130393,0.00130393,0.00130393
13,9192.4,1.5355,1.34096,1.52062,0.87407,0.78872,0.85891,0.44569,1.57848,1.54704,1.58224,0.00127092,0.00127092,0.00127092
14,9886.24,1.51702,1.33975,1.5234,0.89941,0.84343,0.90236,0.48866,1.57757,1.21814,1.60422,0.00123791,0.00123791,0.00123791
15,10572.6,1.48523,1.286,1.48343,0.93553,0.83586,0.89079,0.48398,1.50623,1.3632,1.53438,0.00120491,0.00120491,0.00120491
16,11288.5,1.47749,1.26809,1.48396,0.89096,0.7904,0.88774,0.47448,1.54756,1.63175,1.56115,0.0011719,0.0011719,0.0011719
17,11973.6,1.45287,1.24898,1.48679,0.92257,0.84251,0.90282,0.48672,1.50503,1.19593,1.57332,0.00113889,0.00113889,0.00113889
18,12662.2,1.43601,1.21115,1.46036,0.81418,0.76347,0.82267,0.41832,1.63485,1.52533,1.61211,0.00110589,0.00110589,0.00110589
19,13356.8,1.4503,1.22553,1.4617,0.87609,0.83916,0.88546,0.48623,1.53088,1.25646,1.5467,0.00107288,0.00107288,0.00107288
20,14057.6,1.42507,1.21665,1.44262,0.93928,0.82323,0.89841,0.4882,1.55049,1.27744,1.56679,0.00103987,0.00103987,0.00103987
21,14761.8,1.42364,1.19997,1.43898,0.87532,0.83321,0.87687,0.4586,1.52729,1.33791,1.51974,0.00100687,0.00100687,0.00100687
22,15466.2,1.42012,1.16457,1.453,0.94658,0.85011,0.91393,0.51873,1.53945,1.15562,1.5242,0.000973861,0.000973861,0.000973861
23,16159.3,1.41734,1.20555,1.45302,0.92083,0.87626,0.93674,0.52335,1.4666,1.02054,1.52596,0.000940855,0.000940855,0.000940855
24,16853.3,1.37945,1.13942,1.42178,0.91749,0.8424,0.91139,0.49554,1.48427,1.20508,1.50244,0.000907848,0.000907848,0.000907848
25,17561.4,1.37879,1.13985,1.41388,0.91888,0.8581,0.9261,0.49846,1.53153,1.0574,1.54578,0.000874842,0.000874842,0.000874842
26,18250.6,1.36413,1.11969,1.40147,0.90766,0.85606,0.91665,0.52282,1.46171,1.06867,1.49569,0.000841835,0.000841835,0.000841835
27,18947.3,1.36597,1.10262,1.41198,0.93597,0.88596,0.93912,0.52955,1.49096,1.05556,1.53143,0.000808828,0.000808828,0.000808828
28,19645.3,1.34682,1.09606,1.38877,0.95591,0.84596,0.92026,0.52188,1.47684,1.03523,1.50028,0.000775822,0.000775822,0.000775822
29,20351,1.35534,1.06963,1.39943,0.94525,0.87199,0.92245,0.50971,1.54694,1.0494,1.54909,0.000742815,0.000742815,0.000742815
30,21056.3,1.31749,1.05284,1.37248,0.93928,0.86616,0.93188,0.52,1.50042,1.03407,1.50704,0.000709809,0.000709809,0.000709809
31,21752.3,1.31793,1.04326,1.37707,0.93756,0.87213,0.93233,0.52455,1.4904,0.99926,1.50605,0.000676802,0.000676802,0.000676802
32,22441.6,1.33127,1.03552,1.38953,0.93766,0.87358,0.9217,0.51382,1.52133,1.03377,1.55018,0.000643795,0.000643795,0.000643795
33,23123,1.30489,1.02222,1.37114,0.95234,0.90837,0.95005,0.55353,1.47136,0.94764,1.49297,0.000610789,0.000610789,0.000610789
34,23817.4,1.31625,1.01783,1.36734,0.95257,0.89141,0.96209,0.55558,1.44717,0.90985,1.47331,0.000577782,0.000577782,0.000577782
35,24509,1.3078,1.00672,1.36345,0.94821,0.87626,0.94007,0.54586,1.45978,0.94357,1.4835,0.000544776,0.000544776,0.000544776
36,25241,1.28255,1.00616,1.3411,0.95619,0.88384,0.93474,0.54789,1.48474,0.96962,1.4837,0.000511769,0.000511769,0.000511769
37,25933.5,1.27735,0.97337,1.33489,0.96159,0.88515,0.94215,0.54384,1.47981,0.91716,1.49346,0.000478762,0.000478762,0.000478762
38,26620.9,1.26135,0.96842,1.33091,0.92805,0.91197,0.94613,0.55851,1.46212,0.8934,1.45143,0.000445756,0.000445756,0.000445756
39,27309.9,1.26633,0.98391,1.33441,0.9343,0.85606,0.92035,0.52717,1.4673,1.01554,1.47029,0.000412749,0.000412749,0.000412749
40,27994.4,1.23432,0.94538,1.32358,0.95182,0.89793,0.94853,0.55429,1.46359,0.87152,1.4706,0.000379743,0.000379743,0.000379743
41,28672,1.23624,0.8074,1.34798,0.92118,0.90152,0.93105,0.5352,1.48346,0.97692,1.49272,0.000346736,0.000346736,0.000346736
42,29356.8,1.19762,0.77259,1.32126,0.9426,0.88384,0.92012,0.54138,1.47049,0.99236,1.47931,0.000313729,0.000313729,0.000313729
43,30039.4,1.17461,0.73959,1.30736,0.93288,0.87745,0.91869,0.52765,1.50684,0.93826,1.50763,0.000280723,0.000280723,0.000280723
44,30715.5,1.15861,0.72732,1.29196,0.93197,0.88131,0.92022,0.52806,1.50823,0.9756,1.5161,0.000247716,0.000247716,0.000247716
45,31395.7,1.14525,0.71624,1.28033,0.93596,0.88384,0.92609,0.5233,1.52091,0.95392,1.52925,0.00021471,0.00021471,0.00021471
